Data Type - Total Exports by Commodity,Hts Num,Description,Year 1996,Year 1997,Year 1998,Year 1999,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018,Percent Change 2017 - 2018
FAS Value,76,ALUMINUM AND ARTICLES THEREOF,758365235,842694538,1021457294,1069029515,1216524766,1016998055,1095993632,1043674174,1348792466,1780862011,2405178713,2491593316,2558115756,1987590889,2692036378,3143082975,3335092296,3567828598,3800555391,3860221813,3560208629,3821897111,4391475233,14.9
FAS Value,51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC",19688032,19877694,23235828,25106028,37060113,30442132,20274304,20081578,24835663,25300910,37414264,14238809,13657637,25344553,23032165,13203912,30310393,45996207,28168294,29210545,17580692,19724107,18291727,-7.3
FAS Value,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI",5655985,5482918,1217101,505064,3666684,523015,2603555,3732869,4692164,1444193,1103550,899828,825203,791037,669303,520072,1164114,1256517,1307271,1033392,1191799,1443656,1353100,-6.3
FAS Value,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,22805077,21227639,20592913,22830435,23466947,20552925,20059581,25012926,28957117,24463083,23214877,15741714,19756247,15715074,24103417,31626365,26827115,28357553,25363908,23903713,18672775,18170489,22536930,24.0
FAS Value,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,7725394,8982103,9684399,4434722,16870818,3682312,3363684,5026631,5546522,10445947,12240603,14315573,14989225,45505087,35728742,35180051,45493643,36499207,38850829,43821352,43420022,49181146,34685307,-29.5
FAS Value,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",26680703,28741274,25047743,27216895,25882202,24676190,21881410,25521194,22830544,25177981,27124417,27597841,37410553,31346509,30947026,47922525,55401910,62172030,63272951,64208805,62598603,67658536,75995229,12.3
FAS Value,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,52506467,73479483,82338476,90203503,115213236,93945483,99406125,98058393,96518114,97240089,90784905,80144395,96995092,58531169,88927333,96336626,95134138,123990736,141187264,135433195,117874980,121461321,126440772,4.1
FAS Value,10,CEREALS,1840068412,901515008,1304114180,1274665007,1369095382,1524990758,1608561140,1590035693,1773189974,1636621010,2069172089,2753910452,4107085645,2698903221,2931746886,4752603093,4502818499,3437883154,3580342798,3417213758,3661576870,3950497410,4115391997,4.2
FAS Value,22,"BEVERAGES, SPIRITS AND VINEGAR",58292268,82623445,80979412,108478572,142869368,164215097,169070595,188244409,142386997,147266210,167456064,249584297,299747364,244775801,355428496,490761522,556953297,557724582,524720403,503697873,429041646,422977947,435680376,3.0
FAS Value,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,274862974,344677416,378012304,370540425,420026837,361324086,399395539,352006238,651724824,561241690,423066624,411016189,305718101,191531949,273718404,296394229,305443774,392055764,394788555,417040969,435912642,384862703,354062404,-8.0
FAS Value,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",1525109523,2008667308,1776811877,2272926973,4311446107,3295443607,3280024527,2893300776,3336642670,5372118167,5730982067,6795526464,11119400393,7716105262,14257996763,23630158698,23658186157,23084243159,24265725605,18637701940,19589049871,26657855821,34507805128,29.4
FAS Value,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS",161951142,210331604,245813485,290901960,333928267,418357643,392718336,355819850,391698236,445048012,491244879,485209473,611657613,553897779,564247939,625328337,730572074,787033173,794714326,813360264,850079356,942767647,886431650,-6.0
FAS Value,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS",71379803,95457970,110143922,140740149,152764165,138531367,138800984,151028940,167525531,186128217,205796496,201430786,210358411,166696971,205209700,244552496,240871225,271539874,334793690,350705855,365664019,413815667,468146082,13.1
FAS Value,53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER,981604,1148488,1441245,9992276,9512272,4279458,2395290,1051999,2263070,1606098,1164737,1550009,1936199,1386919,1427691,573532,1284471,1778318,4850526,6182373,5306150,4665441,3613784,-22.5
FAS Value,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",13535949765,17408323620,18770869117,22189100070,29484060702,24854536051,21902438189,20898566276,22997243110,23527509027,26536131569,24961004787,24966913490,23842258352,31627373800,32385289582,33897578165,36626018631,38361576926,41134696645,40699695929,41287073103,43311499122,4.9
